t,raw,voltage,bar
0,256,0.013,0.06
0.55,240,0.012,0.06
1.09,256,0.013,0.06
1.63,256,0.013,0.06
2.17,448,0.023,0.11
2.72,256,0.013,0.06
3.26,256,0.013,0.06
3.81,272,0.014,0.07
4.35,256,0.013,0.06
4.89,272,0.014,0.07
5.44,272,0.014,0.07
6.02,288,0.015,0.07
6.56,272,0.014,0.07
7.11,256,0.013,0.06
7.65,400,0.02,0.1
8.2,272,0.014,0.07
8.74,256,0.013,0.06
9.28,256,0.013,0.06
9.83,272,0.014,0.07
10.37,272,0.014,0.07
10.92,256,0.013,0.06
11.46,288,0.015,0.07
12.01,192,0.01,0.05
12.55,256,0.013,0.06
13.1,272,0.014,0.07
13.64,240,0.012,0.06
14.19,256,0.013,0.06
14.77,256,0.013,0.06
15.31,320,0.016,0.08
15.86,240,0.012,0.06
16.41,272,0.014,0.07
16.95,288,0.015,0.07
17.5,256,0.013,0.06
18.04,240,0.012,0.06
18.59,256,0.013,0.06
19.14,256,0.013,0.06
19.68,240,0.012,0.06
20.23,256,0.013,0.06
20.77,256,0.013,0.06
21.32,352,0.018,0.09
21.86,256,0.013,0.06
22.41,256,0.013,0.06
22.95,272,0.014,0.07
23.54,336,0.017,0.08
24.08,208,0.01,0.05
24.63,240,0.012,0.06
25.18,240,0.012,0.06
25.73,272,0.014,0.07
26.27,272,0.014,0.07
26.82,256,0.013,0.06
27.36,272,0.014,0.07
27.91,240,0.012,0.06
28.46,256,0.013,0.06
29,256,0.013,0.06
29.55,256,0.013,0.06
30.1,240,0.012,0.06
30.64,256,0.013,0.06
31.19,256,0.013,0.06
31.74,192,0.01,0.05
32.32,272,0.014,0.07
32.87,192,0.01,0.05
33.42,256,0.013,0.06
33.96,256,0.013,0.06
34.51,256,0.013,0.06
35.06,288,0.015,0.07
35.6,256,0.013,0.06
36.15,208,0.01,0.05
36.7,272,0.014,0.07
37.25,256,0.013,0.06
37.8,256,0.013,0.06
38.35,256,0.013,0.06
38.9,272,0.014,0.07
39.45,256,0.013,0.06
39.99,272,0.014,0.07
40.54,272,0.014,0.07
41.13,256,0.013,0.06
41.68,240,0.012,0.06
42.23,176,0.009,0.04
42.78,336,0.017,0.08
43.33,272,0.014,0.07
43.88,256,0.013,0.06
44.43,256,0.013,0.06
44.98,288,0.015,0.07
45.53,352,0.018,0.09
46.08,272,0.014,0.07
46.63,272,0.014,0.07
47.18,256,0.013,0.06
47.73,256,0.013,0.06
48.28,320,0.016,0.08
48.83,224,0.011,0.05
49.38,288,0.015,0.07
49.97,224,0.011,0.05
50.52,272,0.014,0.07
51.07,288,0.015,0.07
51.62,272,0.014,0.07
52.17,256,0.013,0.06
52.72,144,0.007,0.03
53.28,288,0.015,0.07
53.83,208,0.01,0.05
54.38,240,0.012,0.06
54.93,288,0.015,0.07
55.48,256,0.013,0.06
56.04,256,0.013,0.06
56.59,288,0.015,0.07
57.14,256,0.013,0.06
57.69,256,0.013,0.06
58.24,240,0.012,0.06
58.83,256,0.013,0.06
59.38,336,0.017,0.08
59.94,288,0.015,0.07
60.49,272,0.014,0.07
61.04,288,0.015,0.07
61.59,256,0.013,0.06
62.18,256,0.013,0.06
62.72,288,0.015,0.07
63.25,256,0.013,0.06
63.79,288,0.015,0.07
64.33,192,0.01,0.05
64.86,256,0.013,0.06
65.4,80,0.004,0.02
65.94,256,0.013,0.06
66.48,256,0.013,0.06
67.01,224,0.011,0.05
67.59,256,0.013,0.06
68.13,256,0.013,0.06
68.67,256,0.013,0.06
69.2,288,0.015,0.07
69.74,272,0.014,0.07
70.28,256,0.013,0.06
70.82,256,0.013,0.06
71.36,256,0.013,0.06
71.89,256,0.013,0.06
72.43,176,0.009,0.04
72.97,240,0.012,0.06
73.51,224,0.011,0.05
74.05,256,0.013,0.06
74.59,272,0.014,0.07
75.12,272,0.014,0.07
75.66,272,0.014,0.07
76.24,272,0.014,0.07
76.78,256,0.013,0.06
77.32,224,0.011,0.05
77.86,256,0.013,0.06
78.4,288,0.015,0.07
78.94,256,0.013,0.06
79.48,272,0.014,0.07
80.02,240,0.012,0.06
80.56,288,0.015,0.07
81.1,272,0.014,0.07
81.64,336,0.017,0.08
82.18,272,0.014,0.07
82.71,256,0.013,0.06
83.25,272,0.014,0.07
83.79,288,0.015,0.07
84.33,256,0.013,0.06
84.91,256,0.013,0.06
85.45,256,0.013,0.06
85.99,272,0.014,0.07
86.53,288,0.015,0.07
87.07,256,0.013,0.06
87.61,240,0.012,0.06
88.15,288,0.015,0.07
88.69,304,0.015,0.07
89.24,256,0.013,0.06
89.78,224,0.011,0.05
90.32,272,0.014,0.07
90.86,272,0.014,0.07
91.4,256,0.013,0.06
91.94,256,0.013,0.06
92.48,256,0.013,0.06
93.03,256,0.013,0.06
93.61,256,0.013,0.06
94.15,272,0.014,0.07
94.69,272,0.014,0.07
95.23,320,0.016,0.08
95.77,256,0.013,0.06
96.32,416,0.021,0.1
96.86,368,0.019,0.09
97.4,528,0.027,0.13
97.94,528,0.027,0.13
98.48,448,0.023,0.11
99.03,416,0.021,0.1
99.57,352,0.018,0.09
100.11,320,0.016,0.08
100.65,256,0.013,0.06
101.19,256,0.013,0.06
101.74,336,0.017,0.08
102.31,432,0.022,0.11
102.86,416,0.021,0.1
103.4,384,0.019,0.09
103.94,400,0.02,0.1
104.48,368,0.019,0.09
105.02,320,0.016,0.08
105.57,800,0.04,0.19
106.11,608,0.031,0.15
106.65,256,0.013,0.06
107.2,416,0.021,0.1
107.74,480,0.024,0.12
108.28,816,0.041,0.2
108.83,1792,0.09,0.44
109.37,2304,0.116,0.56
109.91,2624,0.132,0.64
110.46,2656,0.134,0.65
111.04,2656,0.134,0.65
111.59,2688,0.135,0.65
112.13,2704,0.136,0.66
112.68,4048,0.204,0.99
113.22,7921,0.399,1.93
113.77,15859,0.799,3.87
114.31,23813,1.199,5.81
